epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,273.064,0.43679,0.41441,0.90072,0.65741,0.61111,0.69607,0.59165,0.67051,4.68167,1.07346,0.000137381,0.000137381,0.000137381
15,292.326,0.43626,0.41047,0.90716,0.6392,0.42654,0.54673,0.40459,0.74241,4.46452,1.16959,0.000133718,0.000133718,0.000133718
16,311.353,0.4181,0.39099,0.89401,0.47778,0.43821,0.49158,0.42665,0.94206,4.65071,1.47923,0.000130055,0.000130055,0.000130055
17,330.526,0.4155,0.38195,0.89685,0.66667,0.61111,0.67915,0.56538,0.66703,4.64659,1.11508,0.000126392,0.000126392,0.000126392
18,349.98,0.41669,0.40143,0.9022,0.72064,0.41599,0.43882,0.39121,0.91727,4.90167,1.37945,0.000122729,0.000122729,0.000122729
19,369.341,0.4122,0.37813,0.8993,0.75,0.61111,0.73916,0.63122,0.83327,4.78504,1.29467,0.000119066,0.000119066,0.000119066
20,388.725,0.40534,0.36952,0.89529,0.41377,0.44444,0.48953,0.31788,1.18867,4.72587,1.83244,0.000115403,0.000115403,0.000115403
21,408.043,0.40879,0.3667,0.89157,0.89759,0.52958,0.57203,0.44986,1.04052,3.87604,1.65094,0.00011174,0.00011174,0.00011174
22,427.341,0.3968,0.35188,0.89199,0.64286,0.72222,0.67989,0.51862,1.02701,4.86776,1.61962,0.000108077,0.000108077,0.000108077
23,446.928,0.40666,0.33876,0.89174,0.58154,0.58436,0.63583,0.45351,0.93185,4.67741,1.34077,0.000104414,0.000104414,0.000104414
24,466.194,0.38999,0.33545,0.89124,0.7,0.72222,0.74405,0.56716,0.96771,4.52803,1.28209,0.000100751,0.000100751,0.000100751
25,485.455,0.39137,0.33395,0.88766,0.75,0.72222,0.83027,0.73221,0.83668,4.11428,1.33248,9.7088e-05,9.7088e-05,9.7088e-05
26,504.821,0.38099,0.31141,0.88249,0.94235,0.52227,0.74405,0.51093,1.19901,3.91589,1.59637,9.3425e-05,9.3425e-05,9.3425e-05
27,524.09,0.38024,0.31374,0.88753,0.55556,0.5,0.58295,0.52748,0.96615,4.99873,1.36091,8.9762e-05,8.9762e-05,8.9762e-05
28,543.234,0.38311,0.30621,0.88637,0.68889,0.55556,0.70724,0.63295,0.88575,4.19983,1.29838,8.6099e-05,8.6099e-05,8.6099e-05
29,562.798,0.38305,0.31249,0.88056,0.41667,0.55556,0.49888,0.40241,1.0861,4.53158,1.42991,8.2436e-05,8.2436e-05,8.2436e-05
30,581.916,0.36976,0.29608,0.8793,0.48554,0.4728,0.52077,0.44009,1.09122,4.73013,1.54018,7.8773e-05,7.8773e-05,7.8773e-05
31,601.533,0.38054,0.31063,0.88535,0.38333,0.55556,0.46577,0.40869,1.16049,5.05762,1.61042,7.511e-05,7.511e-05,7.511e-05
32,620.778,0.37916,0.30754,0.88749,0.96464,0.33333,0.52077,0.46455,1.14045,4.43267,1.54954,7.1447e-05,7.1447e-05,7.1447e-05
33,639.984,0.36456,0.28705,0.88184,0.45,0.66667,0.60833,0.50377,0.88966,4.31879,1.36379,6.7784e-05,6.7784e-05,6.7784e-05
34,659.511,0.35836,0.28016,0.8766,0.978,0.51809,0.63583,0.52739,0.86879,3.77095,1.36237,6.4121e-05,6.4121e-05,6.4121e-05
35,678.689,0.3586,0.2779,0.88028,0.91104,0.53208,0.65536,0.57558,0.888,3.621,1.42711,6.0458e-05,6.0458e-05,6.0458e-05
36,698.34,0.35749,0.27282,0.87714,0.57972,0.5382,0.54827,0.49119,0.89839,4.13508,1.4337,5.6795e-05,5.6795e-05,5.6795e-05
37,717.595,0.36612,0.27617,0.88587,0.95279,0.55556,0.64601,0.48998,0.96763,4.18875,1.45435,5.3132e-05,5.3132e-05,5.3132e-05
38,736.772,0.35858,0.27425,0.87553,0.99268,0.42884,0.55388,0.46874,0.8847,4.74821,1.4,4.9469e-05,4.9469e-05,4.9469e-05
39,756.165,0.35863,0.26049,0.87964,0.45,0.66667,0.59183,0.5077,0.88804,4.78664,1.39605,4.5806e-05,4.5806e-05,4.5806e-05
40,775.284,0.35487,0.27023,0.8791,0.86667,0.77778,0.85805,0.73954,0.79824,3.52842,1.23827,4.2143e-05,4.2143e-05,4.2143e-05
41,796.559,0.24762,0.19531,0.79825,0.91294,0.53298,0.58138,0.52363,0.84863,4.24979,1.26692,3.848e-05,3.848e-05,3.848e-05
42,815.433,0.2415,0.18272,0.79582,1,0.53564,0.77582,0.70286,0.87839,4.03298,1.27964,3.4817e-05,3.4817e-05,3.4817e-05
43,834.691,0.23906,0.18262,0.79158,1,0.54994,0.59073,0.51019,0.87684,4.07807,1.30201,3.1154e-05,3.1154e-05,3.1154e-05
44,853.701,0.23554,0.17368,0.79186,0.61823,0.53532,0.59073,0.51738,0.92469,4.15101,1.34979,2.7491e-05,2.7491e-05,2.7491e-05
45,872.555,0.23361,0.17288,0.79259,0.66667,0.54952,0.58138,0.51633,0.87043,3.973,1.28878,2.3828e-05,2.3828e-05,2.3828e-05
46,891.584,0.23191,0.16711,0.7895,0.66667,0.66667,0.66333,0.50955,0.79515,4.06685,1.30342,2.0165e-05,2.0165e-05,2.0165e-05
47,910.622,0.22952,0.16348,0.78754,0.86005,0.64043,0.58267,0.47686,0.85437,4.30467,1.30896,1.6502e-05,1.6502e-05,1.6502e-05
48,929.354,0.22682,0.1679,0.78372,0.53875,0.55556,0.58267,0.43524,0.92932,4.29953,1.3555,1.2839e-05,1.2839e-05,1.2839e-05
49,948.269,0.22225,0.16101,0.78845,0.45,0.66667,0.55517,0.42869,0.88346,4.3954,1.37382,9.176e-06,9.176e-06,9.176e-06
50,967.262,0.22153,0.15463,0.78909,0.38333,0.55556,0.51161,0.40235,0.9185,4.64802,1.38419,5.513e-06,5.513e-06,5.513e-06
