epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,493.69,0.73915,0.59846,1.01137,0.75758,0.66667,0.83165,0.63255,1.05651,2.8362,1.1704,0.00012395,0.00012395,0.00012395
22,517.004,0.73941,0.5993,1.01635,1,0.55168,0.80387,0.52875,1.2034,3.05,1.29629,0.000120897,0.000120897,0.000120897
23,540.289,0.73111,0.57706,1.01188,0.99531,0.55556,0.85943,0.52415,1.43262,3.00742,1.46869,0.000117845,0.000117845,0.000117845
24,563.957,0.73468,0.56884,1.01997,0.99184,0.55556,0.83165,0.6708,0.8836,2.54727,1.06337,0.000114793,0.000114793,0.000114793
25,587.351,0.71736,0.56263,1.01498,0.9968,0.55556,0.80387,0.58884,0.97078,2.55015,1.12014,0.00011174,0.00011174,0.00011174
26,610.64,0.72073,0.54657,1.01566,0.79167,0.72222,0.85943,0.65223,0.94923,2.43795,1.11017,0.000108687,0.000108687,0.000108687
27,634.111,0.70855,0.54271,1.0054,0.84594,0.64834,0.83165,0.62016,1.04915,2.40188,1.1856,0.000105635,0.000105635,0.000105635
28,657.334,0.70869,0.52999,1.00394,0.74359,0.88889,0.9411,0.6941,1.06993,2.17199,1.17718,0.000102582,0.000102582,0.000102582
29,680.9,0.70024,0.53777,1.00524,0.99384,0.55556,0.83165,0.6478,0.97241,2.67335,1.1217,9.953e-05,9.953e-05,9.953e-05
30,704.398,0.6962,0.51602,0.99867,0.99935,0.55556,0.83165,0.59868,1.16002,2.38948,1.21813,9.64775e-05,9.64775e-05,9.64775e-05
31,728.338,0.68383,0.50284,0.99329,0.80952,0.77778,0.88555,0.72889,0.88296,2.27557,1.07479,9.3425e-05,9.3425e-05,9.3425e-05
32,751.365,0.69518,0.51428,0.99788,0.66298,0.55556,0.60943,0.46607,1.07152,3.48127,1.18732,9.03725e-05,9.03725e-05,9.03725e-05
33,774.252,0.66924,0.49494,0.9946,0.77778,0.88889,0.87824,0.61308,1.24875,2.55057,1.31026,8.732e-05,8.732e-05,8.732e-05
34,797.443,0.67365,0.48025,0.99237,0.79167,0.94444,0.96887,0.72627,1.04478,2.19618,1.15096,8.42675e-05,8.42675e-05,8.42675e-05
35,821.423,0.66625,0.48413,0.99218,0.77778,0.88889,0.9411,0.7596,0.92296,2.28982,1.09354,8.1215e-05,8.1215e-05,8.1215e-05
36,845.163,0.66364,0.47371,0.98893,0.74359,0.77778,0.85805,0.62338,1.15505,2.77973,1.22196,7.81625e-05,7.81625e-05,7.81625e-05
37,868.168,0.66381,0.46266,0.98916,1,0.64628,0.88555,0.60663,1.22341,2.89654,1.27915,7.511e-05,7.511e-05,7.511e-05
38,892.355,0.65935,0.47266,0.98891,0.8549,0.77345,0.88555,0.65059,1.09493,2.48421,1.19535,7.20575e-05,7.20575e-05,7.20575e-05
39,916.072,0.66314,0.46496,0.98623,1,0.54737,0.80387,0.57712,1.17724,2.85512,1.25681,6.9005e-05,6.9005e-05,6.9005e-05
40,939.445,0.6507,0.46814,0.9803,0.66074,0.44444,0.58193,0.42911,1.09633,3.83782,1.1634,6.59525e-05,6.59525e-05,6.59525e-05
41,963.495,0.64316,0.45595,0.98109,0.66667,0.55097,0.60943,0.46672,1.02676,3.10948,1.10294,6.29e-05,6.29e-05,6.29e-05
42,987.178,0.63788,0.45341,0.98036,0.869,0.61111,0.80387,0.61125,0.97607,2.94021,1.12376,5.98475e-05,5.98475e-05,5.98475e-05
43,1010.4,0.63998,0.44722,0.97904,0.80556,0.61111,0.75767,0.51778,1.20256,3.13951,1.27694,5.6795e-05,5.6795e-05,5.6795e-05
44,1034.5,0.6336,0.44688,0.97422,0.86667,0.66667,0.83165,0.59189,1.17084,2.89712,1.24799,5.37425e-05,5.37425e-05,5.37425e-05
45,1057.95,0.63021,0.43413,0.97556,0.99548,0.55556,0.80387,0.57862,1.11055,3.26546,1.22189,5.069e-05,5.069e-05,5.069e-05
46,1081.3,0.62279,0.42804,0.97342,0.80952,0.72222,0.85943,0.64275,1.03867,2.69546,1.16417,4.76375e-05,4.76375e-05,4.76375e-05
47,1105.38,0.61721,0.42356,0.96531,1,0.55409,0.80387,0.56142,1.13152,3.22799,1.21445,4.4585e-05,4.4585e-05,4.4585e-05
48,1128.85,0.62108,0.41779,0.96795,0.99524,0.55556,0.80387,0.57862,1.09021,2.83314,1.17972,4.15325e-05,4.15325e-05,4.15325e-05
49,1151.53,0.61655,0.41584,0.97198,0.83333,0.66667,0.83165,0.58943,1.19862,2.54209,1.28789,3.848e-05,3.848e-05,3.848e-05
50,1175.8,0.62236,0.42931,0.97311,0.86667,0.66667,0.83165,0.61548,1.13926,2.37921,1.23989,3.54275e-05,3.54275e-05,3.54275e-05
51,1197.61,0.42971,0.24433,0.86729,0.91667,0.61111,0.80387,0.58236,1.09256,4.03364,1.20951,3.2375e-05,3.2375e-05,3.2375e-05
52,1217.26,0.41648,0.23503,0.86231,0.86667,0.61111,0.80387,0.55213,1.10509,3.40966,1.21355,2.93225e-05,2.93225e-05,2.93225e-05
53,1236.96,0.40653,0.224,0.85057,0.86667,0.61111,0.80387,0.5823,1.06422,3.43579,1.16239,2.627e-05,2.627e-05,2.627e-05
54,1256.2,0.40675,0.22082,0.85169,0.86667,0.72222,0.85777,0.67557,0.97858,3.17248,1.12164,2.32175e-05,2.32175e-05,2.32175e-05
55,1276.2,0.39084,0.22242,0.85017,0.91667,0.61111,0.80387,0.61753,0.92407,3.45548,1.08483,2.0165e-05,2.0165e-05,2.0165e-05
56,1296.4,0.393,0.21257,0.84826,0.91667,0.61111,0.80387,0.61853,1.00313,3.03985,1.14691,1.71125e-05,1.71125e-05,1.71125e-05
57,1316.13,0.38084,0.2095,0.849,0.91667,0.72222,0.85777,0.63322,1.09674,3.00919,1.22979,1.406e-05,1.406e-05,1.406e-05
58,1335.83,0.38125,0.2099,0.84995,0.91667,0.72222,0.85777,0.60654,1.08204,3.21431,1.1991,1.10075e-05,1.10075e-05,1.10075e-05
59,1355.53,0.37602,0.20423,0.83819,0.91667,0.72222,0.85777,0.64142,1.0485,3.10225,1.16632,7.955e-06,7.955e-06,7.955e-06
60,1375.54,0.37623,0.20308,0.8407,1,0.72222,0.85777,0.63882,1.09022,3.26061,1.19928,4.9025e-06,4.9025e-06,4.9025e-06
